Team, H shot/game, H goal/shot, H shot/game against, H goal/shot against, A shot/game, A goal/shot, A shot/game against, A goal/shot against
Arsenal,17.3158,0.1185,10.4737,0.0804,12.4211,0.161,12.2105,0.1207
Bournemouth,13.3158,0.1383,12.2632,0.1245,10.1579,0.1036,16.7368,0.1195
Burnley,11.0526,0.1238,15.4737,0.068,9.4737,0.0722,19.6316,0.0938
Chelsea,16.6316,0.1741,8.1053,0.1104,13.8947,0.1136,8.8421,0.0952
Crystal Palace,11.7895,0.1071,11.8947,0.1106,11.2632,0.1215,15.3158,0.1306
Everton,14.5789,0.1516,10.2105,0.0825,11.6316,0.0905,13.2105,0.1116
Hull,10.9474,0.1346,16.0,0.1151,9.8947,0.0479,16.5263,0.1433
Leicester,12.6316,0.1292,13.5263,0.0973,10.1053,0.0885,15.6316,0.1279
Liverpool,17.4211,0.136,7.4211,0.1277,16.1579,0.1075,8.7368,0.1446
Man City,17.6842,0.1101,6.5263,0.1371,15.6316,0.1448,9.2105,0.1257
Man United,17.7368,0.0772,8.5263,0.0741,13.2632,0.1111,10.3158,0.0867
Middlesbrough,10.7895,0.0829,12.3684,0.0979,7.5789,0.0694,16.4737,0.0958
Southampton,15.7368,0.0569,10.7895,0.1024,13.1053,0.0964,12.1579,0.1169
Stoke,12.0526,0.1048,13.1579,0.096,10.3684,0.0863,15.1579,0.1111
Sunderland,11.2632,0.0748,15.0526,0.1189,9.1053,0.0751,20.4737,0.09
Swansea,11.7368,0.1211,12.6842,0.1411,8.7895,0.1078,14.5789,0.13
Tottenham,19.6316,0.126,7.8947,0.06,15.5789,0.1318,10.4211,0.0859
Watford,12.1579,0.1082,12.5789,0.1213,9.8947,0.0798,15.7368,0.1304
West Brom,11.5789,0.1227,13.1579,0.088,9.4737,0.0889,14.0526,0.1086
West Ham,14.2105,0.0704,11.5789,0.1409,11.8947,0.1239,14.8421,0.117
